item_id,baseline,source_file,reference,classification,reference_scope,priority,change_type,proposed_action,code_change_required,configuration_change_required,reason,current_status
PATH-0001,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_gripper_follow_probe.py,/tmp/openworldtactile_uipc_min_gripper_follow_probe,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0002,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_pad_link8_camera_viewer.py,/tmp/openworldtactile_uipc_pad_link8_manual_camera,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0003,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_pad_usd_viewer.py,/tmp/openworldtactile_uipc_pad_loaded_adjusted,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0004,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_pad_usd_viewer.py,/tmp/openworldtactile_uipc_pad_usd_only_viewer,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0005,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v1.py,/tmp/openworldtactile_newbench_validation,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0006,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v1.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0007,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2.py,/tmp/openworldtactile_newbench_v2_validation,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0008,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0009,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_2.py,/tmp/openworldtactile_newbench_v2_2_validation,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0010,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_2.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0011,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_2_camera_membrane_test.py,/tmp/openworldtactile_uipc_v2_2_camera_membrane_test,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0012,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_3.py,/tmp/openworldtactile_surface_force_v2_3,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0013,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_3.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0014,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_3_marker_tracking_test.py,/tmp/openworldtactile_uipc_v2_3_marker_tracking_test,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0015,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_4.py,/tmp/openworldtactile_surface_force_v2_4,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0016,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_4.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0017,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_5.py,/tmp/openworldtactile_surface_force_v2_5,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0018,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_5.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0019,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_6.py,/tmp/openworldtactile_surface_force_v2_6,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0020,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_6.py,/tmp/openworldtactile_newbench_uipc,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
PATH-0021,active-isaaclab-2.1,active-isaaclab-2.1/experiments/tactile-bench/OpenWorldTactile_v2_7.py,/tmp/openworldtactile_surface_force_v2_7,runtime_output_or_temporary_path,code_or_script,low,runtime_output,保留运行时生成逻辑；目标环境按需设置输出/临时目录,no,possible,属于输出或临时路径，不是重构后的静态输入缺失,当前保留为运行时输出或临时路径
